id,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm84618,MOVIE,1976,R,113,"['crime', 'drama']",['US'],0.0,tt0075314,8.3,795222.0,27.612,8.2
tm127384,MOVIE,1975,PG,91,"['comedy', 'fantasy']",['GB'],0.0,tt0071853,8.2,530877.0,18.216,7.8
tm70993,MOVIE,1979,R,94,['comedy'],['GB'],0.0,tt0079470,8.0,392419.0,17.505,7.8
tm190788,MOVIE,1973,R,133,['horror'],['US'],0.0,tt0070047,8.1,391942.0,95.337,7.7
ts22164,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,tt0063929,8.8,72895.0,12.919,8.3
tm14873,MOVIE,1971,R,102,"['thriller', 'crime', 'action']",['US'],0.0,tt0066999,7.7,153463.0,14.745,7.5
tm185072,MOVIE,1964,G,170,"['drama', 'music', 'romance', 'family']",['US'],0.0,tt0058385,7.8,94121.0,15.949,7.6
tm98978,MOVIE,1980,R,104,"['romance', 'drama']",['US'],0.0,tt0080453,5.8,69053.0,44.038,6.2
tm119281,MOVIE,1967,R,110,"['drama', 'crime', 'action']",['US'],0.0,tt0061418,7.7,111189.0,15.309,7.5
tm67378,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],0.0,tt0060862,7.3,16168.0,12.155,7.1
tm44204,MOVIE,1961,Unknown,158,"['war', 'action', 'drama']","['US', 'GB']",0.0,tt0054953,7.5,50150.0,15.405,7.4
tm69778,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],0.0,tt0079833,7.6,30277.0,14.008,7.5
tm69997,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],0.0,tt0079807,8.1,5141.0,4.681,7.5
tm96649,MOVIE,1980,R,99,"['western', 'crime']",['US'],0.0,tt0081071,6.9,11329.0,8.808,6.6
tm16479,MOVIE,1954,Unknown,115,"['romance', 'comedy', 'music']",['US'],0.0,tt0047673,7.5,42373.0,9.71,7.2
tm135083,MOVIE,1958,Unknown,77,"['drama', 'crime', 'comedy']",['EG'],0.0,tt0051390,7.5,4385.0,3.556,7.4
tm14491,MOVIE,1968,Unknown,68,['documentation'],['US'],0.0,tt0183686,7.2,1117.0,2.419,6.5
tm89386,MOVIE,1977,PG,150,"['documentation', 'history', 'european']",['DE'],0.0,tt0191182,7.5,2416.0,9.305,7.4
tm156453,MOVIE,1972,R,97,"['comedy', 'documentation', 'music']",['US'],0.0,tt0068562,6.2,411.0,2.466,6.1
tm27298,MOVIE,1963,Unknown,186,"['drama', 'war', 'action', 'history', 'romance']",['EG'],0.0,tt0057357,7.6,2470.0,4.816,7.1
tm356209,MOVIE,1960,Unknown,158,"['drama', 'thriller', 'crime']",['IN'],0.0,tt0268639,6.4,82.0,1.611,6.3
tm204541,MOVIE,1956,Unknown,120,"['drama', 'action', 'romance', 'thriller']",['EG'],0.0,tt0049761,6.7,590.0,1.044,5.9
tm14350,MOVIE,1979,Unknown,133,['drama'],['EG'],0.0,tt0077751,7.2,1689.0,1.736,6.0
tm102287,MOVIE,1953,Unknown,105,"['drama', 'thriller', 'crime', 'history']",['EG'],0.0,tt0316472,6.8,231.0,1.826,5.8
tm76557,MOVIE,1979,Unknown,235,"['comedy', 'drama']",['EG'],0.0,tt8312792,9.0,943.0,2.733,7.7
tm71909,MOVIE,1966,Unknown,120,['fantasy'],['IN'],0.0,tt0060104,6.7,225.0,2.047,6.3
tm94651,MOVIE,1980,Unknown,161,"['drama', 'comedy', 'romance', 'action', 'crime']",['IN'],0.0,tt0080653,2.1,25.0,3.46,4.9
tm19608,MOVIE,1954,Unknown,100,"['romance', 'crime', 'drama']",['EG'],0.0,tt0044429,7.4,1219.0,1.866,7.0
ts45948,SHOW,1972,TV-MA,43,['comedy'],[],1.0,tt0202477,8.1,2144.0,1.49,7.0
tm90896,MOVIE,1976,Unknown,124,"['drama', 'crime']","['DZ', 'EG']",0.0,tt0074168,7.2,768.0,3.768,5.4
tm75975,MOVIE,1969,Unknown,152,['romance'],['IN'],0.0,tt0064842,6.9,168.0,1.788,7.0
tm107372,MOVIE,1974,Unknown,162,"['comedy', 'drama', 'romance']",['IN'],0.0,tt0071811,6.5,236.0,1.22,5.3
tm200475,MOVIE,1975,Unknown,110,['drama'],['LB'],0.0,tt0169599,6.5,106.0,1.104,7.3
tm259855,MOVIE,1979,Unknown,74,['documentation'],"['FR', 'LB', 'CA']",0.0,tt0170799,6.2,43.0,0.6,5.3
tm259684,MOVIE,1980,Unknown,93,['documentation'],"['FR', 'LB', 'CA']",0.0,tt0170803,7.8,75.0,1.4,5.0
tm344089,MOVIE,1971,Unknown,153,['drama'],['IN'],0.0,tt0237395,6.2,137.0,0.732,7.0
tm358653,MOVIE,1959,Unknown,142,"['romance', 'crime', 'drama']",['IN'],0.0,tt0157132,6.7,78.0,0.998,6.0
tm100027,MOVIE,1979,Unknown,138,"['drama', 'action', 'romance', 'family', 'fantasy']","['IN', 'SU']",0.0,tt0079749,6.2,555.0,2.554,6.8
tm10204,MOVIE,1962,Unknown,163,"['romance', 'comedy', 'drama']",['IN'],0.0,tt0056379,6.8,285.0,1.9,5.8
tm403346,MOVIE,1976,Unknown,135,['romance'],['IN'],0.0,tt3290368,4.6,14.0,1.24,6.0
tm16812,MOVIE,1978,Unknown,141,"['drama', 'romance', 'action']",['IN'],0.0,tt1219315,4.2,35.0,1.097,6.0
tm336403,MOVIE,1973,Unknown,131,"['drama', 'crime', 'thriller']",['IN'],0.0,tt0230412,5.1,41.0,1.08,3.8
tm119776,MOVIE,1986,PG,110,"['drama', 'action']",['US'],0.0,tt0092099,6.9,329656.0,112.137,7.0
ts20681,SHOW,1989,TV-PG,24,['comedy'],['US'],9.0,tt0098904,8.9,302700.0,128.743,8.3
tm111075,MOVIE,1986,R,89,['drama'],['US'],0.0,tt0092005,8.1,392790.0,16.096,7.9
tm180542,MOVIE,1984,R,229,"['drama', 'crime', 'european']","['US', 'IT']",0.0,tt0087843,8.3,342335.0,21.322,8.4
tm138875,MOVIE,1989,R,96,"['romance', 'comedy', 'drama']",['US'],0.0,tt0098635,7.7,212913.0,16.005,7.4
tm155792,MOVIE,1990,PG,93,"['scifi', 'action', 'comedy', 'family']","['HK', 'US']",0.0,tt0100758,6.7,92647.0,22.75,6.6
tm22327,MOVIE,1987,R,116,"['drama', 'war']","['GB', 'US']",0.0,tt0093058,8.3,723306.0,36.502,8.1
tm54450,MOVIE,1983,R,90,"['horror', 'thriller', 'european']",['US'],0.0,tt0085333,6.7,80945.0,19.311,6.8
tm2386,MOVIE,1984,R,91,['horror'],['US'],0.0,tt0087800,7.4,230543.0,53.853,7.3
ts22082,SHOW,1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",['US'],4.0,tt0083437,6.9,33760.0,44.378,7.5
tm145608,MOVIE,1990,PG-13,120,"['drama', 'european']",['US'],0.0,tt0099077,7.8,137549.0,13.761,7.8
ts21715,SHOW,1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",['GB'],24.0,tt0086815,6.5,4948.0,49.384,6.6
tm41289,MOVIE,1982,PG,127,"['drama', 'family', 'comedy']",['US'],0.0,tt0083564,6.6,44866.0,15.857,6.5
tm132694,MOVIE,1989,R,103,"['horror', 'fantasy', 'thriller']",['US'],0.0,tt0098084,6.5,102212.0,32.854,6.6
